function,k_factor,seed,best_value,simple_regret,n_evaluations,final_domain_size,total_time,mean_adaptive_threshold,n_domain_resets,min_domain_size,max_domain_size
branin,0.3,0,1.7048602706012197,1.3069732706012198,630,5,10.410168170928955,0.052291735930048364,1,5,2500
branin,0.3,1,0.4951227826887994,0.0972357826887994,630,34,10.367179870605469,0.01927455853545229,2,31,2500
branin,0.3,2,0.404492697787159,0.006605697787159026,630,2500,10.165895938873291,0.037042863861484795,2,13,2500
branin,0.3,3,0.45026242787601944,0.052375427876019454,630,2500,9.718713283538818,0.07239323492560673,2,6,2500
branin,0.3,4,0.8122970866751604,0.41441008667516044,630,6,14.190288782119751,0.04330310441643592,1,6,2500
branin,0.3,5,0.5433562827993885,0.14546928279938853,630,2500,9.901119947433472,0.0674303767186317,2,6,2500
branin,0.3,6,0.5579429232407556,0.16005592324075557,630,5,11.666808605194092,0.04957039003597247,1,5,2500
branin,0.3,7,0.404492697787159,0.006605697787159026,630,5,11.980565309524536,0.043897063275542034,1,5,2500
branin,0.3,8,0.5012845204240453,0.10339752042404526,630,6,10.321525573730469,0.042788457652780464,1,6,2500
branin,0.3,9,0.7846854555530669,0.3867984555530669,630,2500,9.957130432128906,0.04485546463992561,2,10,2500
branin,0.5,0,1.7048602706012197,1.3069732706012198,630,5,10.603320598602295,0.062223708031562096,1,5,2500
branin,0.5,1,0.4951227826887994,0.0972357826887994,630,34,10.327491044998169,0.025516920173867835,2,31,2500
branin,0.5,2,0.404492697787159,0.006605697787159026,630,2500,9.792659521102905,0.044768660885280094,2,13,2500
branin,0.5,3,0.45026242787601944,0.052375427876019454,630,2500,9.7621910572052,0.08790369905018537,2,6,2500
branin,0.5,4,0.7453755137832534,0.3474885137832534,630,2500,10.876113414764404,0.053280369074639865,2,11,2500
branin,0.5,5,0.6348612815964643,0.23697428159646428,630,27,10.954370021820068,0.024004366113635146,2,27,2500
branin,0.5,6,0.8595383166889992,0.46165131668899917,630,2500,10.20198130607605,0.0751079415534509,2,5,2500
branin,0.5,7,0.404492697787159,0.006605697787159026,630,2500,9.882975101470947,0.05260788607744893,2,10,2500
branin,0.5,8,0.4069069620446708,0.009019962044670815,630,2500,10.36211347579956,0.07280338749309934,2,5,2500
branin,0.5,9,1.0633985547894813,0.6655115547894813,630,30,9.844016075134277,0.02336897455688567,2,30,2500
branin,0.7,0,0.45026242787601944,0.052375427876019454,630,2500,10.300344228744507,0.09243122679292606,2,5,2500
branin,0.7,1,0.4951227826887994,0.0972357826887994,630,34,10.776832818984985,0.031759281812283366,2,31,2500
branin,0.7,2,0.4069069620446708,0.009019962044670815,630,2500,10.221737384796143,0.06422754745399276,2,7,2500
branin,0.7,3,0.47269080217855297,0.07480380217855298,630,2500,11.937837839126587,0.11030537062473347,2,5,2500
branin,0.7,4,0.4951227826887994,0.0972357826887994,630,35,11.124762773513794,0.03332993884654336,2,28,2500
branin,0.7,5,0.6348612815964643,0.23697428159646428,630,27,10.508307218551636,0.029939847586312435,2,27,2500
branin,0.7,6,0.8595383166889992,0.46165131668899917,630,2500,10.229483366012573,0.08518019915044102,2,5,2500
branin,0.7,7,0.4951227826887994,0.0972357826887994,630,2500,10.045383214950562,0.09032621759992751,2,5,2500
branin,0.7,8,0.4069069620446708,0.009019962044670815,630,2500,10.645794868469238,0.08216567276537798,2,5,2500
branin,0.7,9,1.0633985547894813,0.6655115547894813,630,30,11.053118228912354,0.028684821414680366,2,30,2500
branin,0.9,0,0.45026242787601944,0.052375427876019454,630,2500,11.609021663665771,0.10471289425347534,2,5,2500
branin,0.9,1,0.4951227826887994,0.0972357826887994,630,34,11.088271141052246,0.03800164345069891,2,31,2500
branin,0.9,2,0.4069069620446708,0.009019962044670815,630,2500,10.53618597984314,0.07153753772296068,2,7,2500
branin,0.9,3,0.47269080217855297,0.07480380217855298,630,2500,12.269475221633911,0.1258500155136535,2,5,2500
branin,0.9,4,0.4951227826887994,0.0972357826887994,630,35,11.06888222694397,0.039790498595983666,2,28,2500
branin,0.9,5,0.6348612815964643,0.23697428159646428,630,27,11.256214141845703,0.03587532905898972,2,27,2500
branin,0.9,6,0.4069069620446708,0.009019962044670815,630,35,10.956356048583984,0.03323415589506006,2,32,2500
branin,0.9,7,0.4951227826887994,0.0972357826887994,630,2500,10.154298782348633,0.10186754493424263,2,5,2500
branin,0.9,8,0.7453755137832534,0.3474885137832534,630,31,11.241424560546875,0.03701667316807774,2,27,2500
branin,0.9,9,1.0633985547894813,0.6655115547894813,630,30,10.01227855682373,0.03400066827247507,2,30,2500
branin,1.0,0,0.8972545019556613,0.49936750195566126,630,37,10.001121520996094,0.03623504091350681,2,30,2500
branin,1.0,1,0.4951227826887994,0.0972357826887994,630,34,10.707332849502563,0.04112282426990668,2,31,2500
branin,1.0,2,0.4069069620446708,0.009019962044670815,630,2500,10.781249761581421,0.07519253285744462,2,7,2500
branin,1.0,3,0.47269080217855297,0.07480380217855298,630,2500,12.328050136566162,0.13362233795811346,2,5,2500
branin,1.0,4,0.4951227826887994,0.0972357826887994,630,35,11.57746934890747,0.04302077847070381,2,28,2500
branin,1.0,5,0.6348612815964643,0.23697428159646428,630,27,11.4721999168396,0.03884306979532837,2,27,2500
branin,1.0,6,0.4069069620446708,0.009019962044670815,630,35,10.741571187973022,0.035662834463345866,2,32,2500
branin,1.0,7,0.4951227826887994,0.0972357826887994,630,2500,10.15068507194519,0.1076382086014002,2,5,2500
branin,1.0,8,0.7453755137832534,0.3474885137832534,630,31,11.183937549591064,0.039778705621478554,2,27,2500
branin,1.0,9,1.0633985547894813,0.6655115547894813,630,30,9.89633297920227,0.036658591701372416,2,30,2500
hartmann3d,0.3,0,-2.5069067208365206,1.3558732791634793,630,9,6.789064884185791,0.061571216032038564,0,9,8000
hartmann3d,0.3,1,-3.4965911252536994,0.36618887474630046,630,6,7.842836380004883,0.05080747135559773,0,6,8000
hartmann3d,0.3,2,-3.4448406090712282,0.41793939092877164,630,8,8.456242084503174,0.040573789451249564,0,8,8000
hartmann3d,0.3,3,-3.7904386506376415,0.07234134936235836,630,8000,8.856909990310669,0.11360299651943065,1,13,8000
hartmann3d,0.3,4,-2.904841572787728,0.9579384272122717,630,9,9.084500789642334,0.07558403767853379,0,9,8000
hartmann3d,0.3,5,-2.8585570787992935,1.0042229212007063,630,8,8.78969931602478,0.09646587307205011,0,8,8000
hartmann3d,0.3,6,-1.9164994390067214,1.9462805609932785,630,8,8.579980611801147,0.06154459477750327,0,8,8000
hartmann3d,0.3,7,-3.8176930673340124,0.04508693266598751,630,8000,7.364913463592529,0.0912414458036526,1,16,8000
hartmann3d,0.3,8,-3.0924380403431915,0.7703419596568084,630,9,7.822488784790039,0.07171159768419118,0,9,8000
hartmann3d,0.3,9,-3.649916242194262,0.21286375780573774,630,8000,9.243875503540039,0.06390989245013842,1,11,8000
hartmann3d,0.5,0,-3.6544371647352314,0.2083428352647685,630,8000,8.397451877593994,0.10907246903663506,1,6,8000
hartmann3d,0.5,1,-3.6561809209549385,0.20659907904506136,630,8000,8.673121452331543,0.06886163314609155,1,10,8000
hartmann3d,0.5,2,-3.7904386506376415,0.07234134936235836,630,8000,9.819537162780762,0.09577794776341764,1,6,8000
hartmann3d,0.5,3,-3.7904386506376415,0.07234134936235836,630,8000,8.454237461090088,0.12104176091582697,1,13,8000
hartmann3d,0.5,4,-3.5800285923723716,0.2827514076276283,630,8000,8.382729053497314,0.12840388620354728,1,6,8000
hartmann3d,0.5,5,-3.7741052137126236,0.08867478628737624,630,8000,8.634284257888794,0.1692834601210701,1,8,8000
hartmann3d,0.5,6,-3.8216325739362054,0.04114742606379451,630,8000,8.524927854537964,0.08043196534884994,1,18,8000
hartmann3d,0.5,7,-3.802714210741323,0.060065789258676894,630,8000,9.715997457504272,0.1734889778749361,1,11,8000
hartmann3d,0.5,8,-3.815627395554648,0.047152604445352075,630,520,9.752740621566772,0.0577162291329002,1,25,8000
hartmann3d,0.5,9,-3.805654515662115,0.057125484337885,630,500,8.977848052978516,0.060882322241548825,1,12,8000
hartmann3d,0.7,0,-3.6544371647352314,0.2083428352647685,630,8000,8.540740013122559,0.11781607086976206,1,6,8000
hartmann3d,0.7,1,-3.4965911252536994,0.36618887474630046,630,649,8.871843099594116,0.056513394716871404,1,10,8000
hartmann3d,0.7,2,-3.4448406090712282,0.41793939092877164,630,700,9.040624856948853,0.056177720508273875,1,12,8000
hartmann3d,0.7,3,-3.823778149239498,0.03900185076050189,630,8000,8.287182331085205,0.17289506674099836,1,7,8000
hartmann3d,0.7,4,-3.119379725627908,0.743400274372092,630,492,9.231095552444458,0.0670971364111637,1,20,8000
hartmann3d,0.7,5,-3.644624114370794,0.21815588562920585,630,8000,8.90151572227478,0.17102537870301426,1,7,8000
hartmann3d,0.7,6,-3.8216325739362054,0.04114742606379451,630,8000,8.64390754699707,0.0876165446710323,1,18,8000
hartmann3d,0.7,7,-3.631167598119406,0.23161240188059384,630,496,9.516772031784058,0.10539412182423653,1,27,8000
